cluster	question	
8	question Question when we schedule an interview and the candidate comes to the interview is there any laws or regulations that would prevent us from not even starting the interview and saying this isnt going to work etc. or within minutes of starting the interview they pick up their cell phone and looking at it why the interview is going on, can we end it right there and tell them why we are ending it? On rejection letters/e-mails can we offer constructive criticism with why they didnt get the position? Thanks **************Please notice extension and fax number changes below.************ Billie Daiber Human Resources/Accounting Supervisor ApexNetwork Physical Therapy 15 Apex Dr. Highland, IL 62249 Phone: 618-651-0444 ext. 1108 Direct # & Confidential Fax #: 618-426-5520 E-mail: bdaiber@apexnetworkpt.com An Entrepreneur Magazine Top 500 Franchise Our philosophy is quite simple, to be the best in rehabilitation. www.apexnetworkpt.com Confidentiality Notice: This message is intended for the use of the individual or entity to which it is addressed and may contain information that is privileged, confidential and exempt from disclosure under applicable law. If the reader of this message is not the intended recipient or the employee or agent responsible for delivering this message to the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. If you have received this communication in error, please notify ApexNetwork Physical Therapy immediately and delete this material. This message is intended for the use of the individual or entity to which it is addressed and may contain information that is privileged, confidential and exempt from disclosure under applicable law. If the reader of this message is not the intended recipient or the employee or agent responsible for delivering this message to the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. If you have received this communication in error, please notify ApexNetwork Physical Therapy immediately and delete this material. This message is intended for the use of the individual or entity to which it is addressed and may contain information that is privileged, confidential and exempt from disclosure under applicable law. If the reader of this message is not the intended recipient or the employee or agent responsible for delivering this message to the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. If you have received this communication in error, please notify ApexNetwork Physical Therapy immediately and delete this material.	
3	Hello! Should I be stating the fact that we do background checks and pre employment drug screens in the actual job posting or does that come later with a job offer that is contingent of passing both?	
3	Offer extended and conditional offer and concern about background check language in our offer letter.	
2	What are the state reporting requirements for SC and IL? SC total employees: 40 IL total employees: 19	
8	We received the results of a background check report that had a charge of theft for a candidate applying for an HR position. This is job related as she will have access to confidential employee data including SS numbers and credit card info used for expense reporting. Can we discuss the use of the pre adverse action notice and the adverse action notice. The information appears to match her info, with the exception of the date of birth reported by one of the courts.	
1	Hello, We are looking to hire someone to fill a position but the candidate that we are interested in has a wrist injury.The candidate, in the interview mentioned she hurt her wrist on her previous job and that is why she stopped working for them. She was a perfect candidate for what we are looking for however, we are hesitant to hire her because of her preexisting injury. I don't believe we are allowed to ask her if she filed workers comp or disability. We are not sure how to proceed.	
6	We require pre-employment physicals for our regular employees. We use many temp employees through a staffing firm. Should we require the same for them? It is high turnover and is expensive to conduct all of the pre-employment physicals for someone who stays such a short period of time.	
8	I have a question regarding the "Ban the Box" initiative in New York State. Relating to the cities of Rochester, Buffalo, and Syracuse. All if the information I am seeing shows that the only illegal action relating to this initiative is discrimination based on the "box". My question is can we have the box on applications if the candidates are completing the applications during the interview visit process (in-person), or do we need to remove this?	
2	HRWatchdog has posted a new item, 'Back from the Holiday? Dont Forget About New Domestic Violence Notice' If you have 25 or more employees, you now must provide new employees with a written notice about the rights of victims of domestic violence, sexual assault and stalking to take protected time off for medical treatment or legal proceedings. The notice also contains information on victims rights to accommodation and protections against discrimination. We were informed of this notice requirement. Is there a pamphlet or handout we can use for this notice to our new hires?	
6	We want to start administering a sales assessment test to prospective sales people. Can you recommend a few tests. There are so many we have no idea where to begin.	
0	I have a client that might be hiring a few employees in Australia. Do you have any tools or guidance for Australia nationals?	
2	Our whole company has 89 employees and we are all salaried exempt. When the new regulations were pending we decided to convert some roles to salaried non-exempt. I am drafting a new offer letter and the template says exempt but I'm wondering if there is information I should include specific to non-exempt employees.	
6	We are a lab in CA. We have employees all over the country, called field techs in many states. One of our couriers who we pay $40 to drop the samples off to the local FedEx station we just found out are paying someone else under the table $20 to courier packages to the fed ex station one time per day. This drop off happens one time per say and only takes about 15 minutes. We want to cut out the courier and work directly with the people who are making the drop offs. (They work for another company and just take our samples to the FedEx station.) One of us thinks we need to onboard them as employees and pay for the time worked and another thinks we would pay them as independent contractors. Can we bring them on as independent contractors?	
8	Hello, Some of our prospective employees are required to get cleared by our insurance company if they are going to be driving a company vehicle. We have a prospective employee that has the maximum number of points and accidents on their license (all within the past 3 years) that our insurance company allows for them to be insured to drive our vehicles. The hiring manager would like to rescind the employment offer on a basis of not passing our background checks, because one more accident or traffic violation would render her not able to do her job. Could you provide some guidance as to whether this is acceptable to do? Thank you!	
4	Can we ask about conviction history in DC for volunteers?	
5	When is the best time to do the reference checks for applicants.	
6	We are going to implement an online applicant tracking system. We are federal contractors required to use E-Verify. The ATS system that we are installing does not provide an option to include the E-Verify poster with the online app. We currently include the poster with all hard copy apps. Could we include a link to the E-Verify poster on our Careers page?	
6	Beth, Thanks for your quick response! Just one clarification, I dont think my question was understood correctly. Here is my question: In next week or the near future, we need some extra help to stuff envelopes and are thinking of bringing in some students/kids to help us. We are thinking they would work 6-8 hours maximum. Do we have to pay them through our payroll as an employee or can we pay them as independent contractors? We will pay them for sure, we are not sure if we should pay them as independent contractors or as temporary employees. Would you please re-answer my question? I am sorry for the confusion. Denise Hong Secretary-Treasurer	
7	We had an employee who resided in Canada resign from our Agency several years ago He is interested in returning and he still resides in Canada. Several years ago we had to prepare a letter for the TN Visa and he would have a copy to present at the border coming and going. I believe I would have to prepare another letter addressed to Homeland Security for him to take across the boarder requesting a TN VISA pertaining to NAFTA agreement. There have been changes with the new US President in office and I am wondering if there were any changes that I should be aware of now.	
8	The client has 15-20 sales personnel that they are treating as 1099 people but we are concerned they may be misclassified. Sales is a fundamental part of the companys revenue and these individuals represent the company directly, have company business cards, use company tools and resources, etc. What are the potential risks and ramifications of misclassification?	
5	I'm looking for a generic job description for a clerical data entry position	
0	Via email: Do you have any suggestions on offer letters???? Do you have a sample of a good one?	
8	We have a Texas based employer who wants to hire a U.S. Citizen who is currently living in the the U.K. What considerations would this employer need to take into account if they hire this individual. He will be supporting the U.S. business interests in the U.S. The issue is that he is living in the U.K.	
5	Is there a law that requires employer's to post job opening to the public and also internally?	
6	What are the restrictions around having unpaid interns? Is the situation different for interns who are gaining college credit rather than just experience? Or because we are a non-profit that uses many volunteers as well?	
6	We just had an employee in NJ. In addition to federal tax form do we send NJ-W4 as well? I wasn't sure if we had to send out both.	
3	We have an applicants who will working in home health care whose background check came back with some very worrisome information. The director did not provide me with details but they do not wish to more forth with hiring this person. What will they need to provide to this person?	
5	When advertising a position, is it legal to write: U.S. Candidates Only. No sponsorship opportunities available?	
5	When advertising a position, is it legal to write: U.S. Candidates Only. No sponsorship opportunities available?	
0	We will be doing some training for supervisors on interviewing and would like to show them a list of "Legal Traps" on what they can't ask in interviews. Do you have any type of document you can provide?	
8	I have a situation where a temp employee was hired on to do one job (customer service) and in the process they applied to another open job (IT). Internally we had some issues, it fell through the cracks. They were offered the IT position. A few days later, his offer letter for the customer service job comes through and he signed that offer letter as well. We did not rescind the offer letter. We have two open offer letters. Within our policy it is standard that an employee stay in their position for 6 months before they are eligible for another position.	
2	We are attempting to improve the level of new hires. Do have an resources to assist us with the recruiting process?	
6	We have an employee starting in PA and wondered if I have to report it to the state?	
3	Background check for minors under the age 18 in Florida.	
3	Background check for minors under the age 18 in Florida.	
7	We were going to promote someone. We offered to let him try the position first as he was hesitant. We transferred him as on 7/1/17 from the field representative position to the higher level position. With his departure to the new role, we knew that there was a field representative position open in Los Angeles County and on 7/5, we made an offer on the same day and he brought in his paperwork yesterday. Today he is in background check. We were just notified to Please hold off on everything because the person who was trying out the other role decided because the position wasnt for him, wants to go back to his original position. We want to rescind the offer. What advice can you provide?	
2	RE: Distribution of Required California EDD Unemployment, PFL and Disability pamphlets to employees at time of hire. Hello, Can we provide these pamphlets to new employees in electronically or are we required to provide them to employees in paper format?	
0	Do you have resources for samples of pre-employment screening for an Administrative Assistant - writing, computer skills, etc.	
8	A manager with authority to hire sent an email to a consultant we wish to hire on our payroll. The manager indicated title, salary, benefits, and 90 days notice. Does the manager indicating 90 days notice now constitute an employment agreement? If at a later time, we wish to terminate this at-will employee, does this manager's email require us to pay the employee for 90 days notice should we wish to terminate the employee?	
0	I have received this question below from a client. Can you help me? "I need your assistance. I am trying to put together a sample job applicant for employees which Franchisees could access to review a current version with all the ban the box requirements. I was able to find a sample application from our corporate location. Whenever I called the MM regional person for CA she sent me additional information that is required for the city of Los Angeles that went into effect on 7/1. Would you be able to provide me with a sample CA job application that has the needed changes for effective laws of 7/1?" Thank you, Amanda Quinn	
4	I'm revising our application CA, TX, GA, IL, Mass, and NY we have three different entities. Instead of having three applications, can we have one application and the HR person would check which company the person is applying for, or do we need three separate application? Can we ask if they have ever been convicted of a crime and can they submit to a drug test? As far as US citizen, can we ask them that? Or do we ask if they are authorized to to work in US? If not a citizen can we ask, Do you require sponsorship? If someone is under 18, how do we find out? How can we ask that? If they are 18, can we ask, Can you provide proof of being able to work? Demographic - Male or female, sex, if they are a vet. Can we put that on the application? Do we have to have it separate? Can we say voluntary only if on the application? and the same thing if a person requires accommodations? Voluntary only? Or can we ask that on the application?	
0	Interviewing process and would like sample rejection letters.	
6	We are an organization that provides services to individuals with disabilities in their homes and work. If we have an applicant that had criminal history show up in background check that was not listed on the application, we sent the pre-adverse action letter, they contacted and made an explanation of the record, what is our obligation to hire? Can we legally say we simply are not interested due to the undisclosed information? Our state DHS did ok them to work in the industry, but we would not typically hire someone with this type of history.	
5	I'm considering getting interns for our company. What are the requirements around payment?	
8	adverse action letter Hi! Do you have a general template that I can use to let applicants know when we cannot move forward with employment due to background check results? Must I do it in 2 steps? We have employees in multiple states and not sure if there are specific letters for states. The states are primarily AZ, NYS and CA. Thank you kindly, Karen Karen D'Angelo Emerge | Director of Human Resources email: karen@GoEmerge.com mobile: 585.590.4318 direct: 866.611.8570 main: 800.734.8812 fax: 585.360.0210 GoEmerge.com [http://cdn.goemerge.com/emerge_logo_600WX96.png] Please consider the environment before printing. Disclaimer: This e-mail message and any attachments are intended solely for the use of the individual or entity to which it is addressed and may contain information that is confidential or legally privileged. If you are not the intended recipient, you are hereby notified that any dissemination, distribution, copying or other use of this message or its attachments is strictly prohibited. If you have received this message in error, please notify the sender immediately and permanently delete this message and any attachments.	
0	Could you provide a Sample Employment Agreement for Teacher and for Administrator at a nonprofit, independent elementary school A/ for an exempt full time teacher/staff member and B/ for a non-exempt staff person?	
2	I have a new employee starting. What are the required forms that they must fill out for NY?	
5	Unregistered User (replacement for Lee Ann Glickman). Advised to contact CheckPointHR to update info. Deborah Duffy, HR Manager, 732-356-0102, ext 4104; dduffy@pillar.org Has the salary history prohibition passed law yet in NJ? What is partial disability?	
4	Employment application - can we as "have you ever been convicted of a felony?" we have locations in Nevada, Iowa, Michigan and Minnesota	
8	We are offering employment to a candidate, but we have a clause that states that the employer reserves the right to terminate the employee if she is determined to have a disability and needs a leave that is longer than a specified period of time. Is this legal?	
5	Our company is based in NY but we have an office in LA. I need to have an I-9 completed and we have an employee in our LA office who can do this for us. Does the person completing the form need to be a US Citizen?	
7	We have an employee who was terminated for job abandonment. The company now wants to rehire him because it turns out he was in rehab. Can I have his drug tested? He used to spend a lot of time in the bathroom. He previously got upset with me for pointing out that he spent a lot of time in the bathroom. Can we ask for proof that he was in rehab?	
7	We have a candidate that applied for a job as a driver. He would be shuttling people back and forth from job sites. However, he's on the sex offender list. He was convicted in 2006 and then again in 2012. How can we know what are risks is?	
5	is ban the box currently in effect in Colorado?	
8	We currently operate in VA but it is looking as if we may have one or more EE in California. The person would work remotely there and would be located near San Diego. What are the rules on the timing of when a background check can be run? Must it be post-offer? What information do we have to report to the state regarding new hires in CA?	
2	I have a new client who is a new company in Florida and needs to understand how to get setup as an employer. Please send me information about state and federal requirements.	
5	What forms are required for an independent contractor? The W-9 and confidentiality agreement?	
7	We just received the results of a background check on a new hire. He has a felony conviction for burglary and retail theft from 2009 and is on probation through this year. His job will require him to carry keys to up to 150 residential properties. May we terminate him?	
7	We are calling about an applicant who is working with Goodwill Employment Services has domestic violence charges. We do not do background checks with employees. We do have them state if they have any felonies. Through the group helping him to get reestablished in the workforce, he is being up front about his history.	
8	Hello, I am looking for a couple referrals in regards to a good, reputable company that offers a Personality Assessment tool to help screen candidates. This is mainly for our Sales and Professional/Management positions. I looked on-line and there are way too many to pick from. Could anyone from your organization site a few services that they have successfully used in the past? Effectiveness, cost and compliance with Federal Guidelines are important to me. Thanks, David Packard	
2	Can you provide guidance on how to calculate the cost of new hire by state?	
4	When sending out a reference check on a candidate, it was returned with some concern regarding a health issue and a mention of 'missing a lot of work". Are we allowed to ask about the health issue ?	
6	All of our employees are currently direct hire permanent employees. We considering extending an offer to someone on a temp to hire basis. What should I be aware of with this type of an employment arrangement? Do we have to offer benefits if its a 3-6 month assignment? Any other HR compliance issues I would need to account for with this type of status?	
7	We have an applicant who applied for a job. Did a job shadowing and found out he has broken collarbone. If we decide not to move forward, are there any risks?	
7	We were considering a candidate for an apprentice position and conducted a pre-employment background check (he asked for a copy of the report and it was already sent to him). He had already forewarned us that there would be a couple DUIs on his background check, so we were prepared to see that; however, the background check came back with a suspended driver's license (which he denies), an additional DUI, plus information that he has repeatedly procrastinated in taking care of requirements to clear these issues. I was told to send him a simple rejection letter; however, I checked online and it appears that legally I should be sending him an Adverse Action letter including the contact information for the background check company we've used. Which route should I go - simple rejection or Adverse Action letter? Thank you!	
5	Can we require a candidate to relocate as a condition of employment?	
8	Follow up on earlier question. The applicant stated that he would not be able to do the job at this time but may be able in the future depending on his recovery. We are planning on moving on another candidate. Is this still risky?	
8	We include a medical questionnaire as part of our post offer paperwork package. If an employee answers "yes" to having previous workers comp claims, can we ask if they have any work restrictions? If they have restrictions and cannot perform the essential functions of the job, can't we rescind the job offer? If they say " yes" to other issues like previous back, neck, knee problems, can we ask if they are able to do the "essential functions" of the job? Can we include the "essential functions" of the job on this questionnaire and then ask if they are able to perform these functions without an accommodation? (Essential functions would include, must be able to lift 50 lbs, must be able to climb ladders and stairs frequently and must be able to stand for periods of time up to 8 hours a day.)	
0	Do you have a sample hold harmless agreement? I'm looking for something I can provide volunteers regarding injuries.	
2	Are there any orientation forms for new hires that MUST be completed on paper? (Client is setting up online onboarding system and will get consent forms to satisfy ERISA requirements for electronic distribution.) What about forms that require witness signature? i.e. Louisiana Second Injury Fund Questionnaire	
7	Hello, An employee of ours working in Guatemala has their employee contract coming to an end on 2/14 and cannot renew it due to visa issues-he must leave the country and return to the U.S. Can we hire him as a consultant doing some of the same tasks and some different tasks (he would be working remotely from the U.S). Starting 2/14, we are restricted from placing a non-Guatemalan local in the position as an employee. thank you!	
3	If a background check comes back with a state/local record, can the employer ask about the offenses to the new hire?	
6	We are thinking about making a couple hires out in CA. What would you recommend as first steps? It would be 1-4 people and they would work from their homes or out of a co-working space.	
3	How much can we communicate to our team about a candidate who didn't pass background?	
0	I was trying to log int my member account and it linked me to ThinkHR. I am helping an organization with some forms. Do you have sample applications?	
3	When a candidate's background check of their driving record is right on the cusp of being hireable, may we run the results of their DMV records by our insurance carrier to see if they are insurable? We hire in multiple states.	
6	We have candidates that we interview for positions in the below states. Can we have them complete authorizations for background checks and pre-employment drug screens prior to a written job offer? How far back can we go to obtain criminal convictions? The states are: IL, WI, MN, MI, IN, MO, KS	
5	Is there any situation when an employer should confirm an employee's employment, without a written release from the employee?	
2	Hello, I need the list of required Notices and Required Forms for new employees in CA. Can't find a comprehensive list anywhere. Thanks!	
8	verifying eligibility to work in the U.S. Hi there, Happy New Year! RE: hiring In CA, is an employer obligated to use e-verify? Or do we go through you all to verify eligibility to work in the U.S. or...? Thank you, Red Lustig Power Standards Lab, Inc. 980 Atlantic Ave Alameda, CA 94501 USA PH ++1-510-522-4400 FAX ++1-510-522-4455 www.powerstandards.com This email contains proprietary and confidential material for the sole use of the intended recipient. Any review, use, distribution or disclosure by others without the permission of the sender is strictly prohibited. If you are not the intended recipient (or authorized to receive for the recipient), please contact the sender by reply email and delete all copies of this message.	
8	Can a 17-year-old be hired for a general assembly position that includes the use of a radial arm saw & large table saw for cutting 2x6 treated lumber? How about for a powder coating position that requires the use of a respirator? We have the opportunity to hire a former Co-Op student that just graduated high school, but will not be 18 until March.	
8	Do you have a compliance checklist with mandated timelines for onboarding? i.e. when a I-9 must be received. Can an undocumented employee (one that has not submitted a valid I-9 ) continue in the work place? When a W-2 must be submitted to the company by?	
2	Empire Startups Inc., jon@empirestartups.com, Justworks, Jon Zanoff, 6462879838 We have a question about new hire reporting and whether we need to continue doing the NY reporting or whether Justworks does that now on our behalf.	
5	State of Iowa requirements for job descriptions	
2	Im trying to update our previous injury disclaimer that we hand out with our employee new hire packages, but I cant seem to find one online at ThinkHR.com. Can you help me locate a form for newly incoming employees to fill out stating previous injuries.	
7	We have a candidate that disclosed that he has been convicted of a felony. We want to talk about the situation.	
3	Pre-employment background checks in OR or WA what does it mean when the records have been dismissed. - does this mean I should not consider the charges?	
5	Is the ability to lift 75 pounds a reasonable job requirement listed in a job description?	
8	Do we still need to send employees in NYS the notice of pay rate form at the time of hiring? I understand that these no longer need to be filed on an annual basis. Thanks. Lisa	
8	I have a manager who offered a position to a candidate in Texas. The candidate has already accepted the offer, but the manager didn't realize the location the candidate was in and would now like to rescind the offer. I don't see why that isn't a possibility, since it's an at-will state, but I wanted to make sure there wasn't anything I was missing. Thank you, Brittany	
7	We are doing an E-3 visa from Australia. He is working from home. You have to prove that you have posted the job. The employee will be working from home and does not have an office he reports to. Are we still obligated to post this position, and if so where?	
6	Last year we just started handing out job descriptions. Are we required to hand them out yearly? What is the protocol call on this moving forward?	
8	Hello, I have a client hoping to find legal verbiage that they can include on their employment advertisement sites that basically says that they do not sponsor any type of employment Visas (ie H-1Bs). They are receiving most of their applicants from outside of the US and do not have the funds available to sponsor these employees. They would like language that is within the laws regarding employment. Any suggestions or advice?	
1	I have a new hourly employee starting tomorrow. She called her new manager today to let her know that she has a health issue that is going to require her to miss a "few days" each month. What are my options , responsibilities?	
2	Blackbird: Lynette Tagan, lynette@teamblackbird.org 562-714-8298 We have 6 employees (+3 owners), we have employees in VA (looking to get a weWork space in DC), Brooklyn, NY (remote), and San Francisco, CA (2 in the City and 1 in Tracy). I will be moving to Los Angeles. What are the new hire forms for these locations?	
1	Another stylist that is not dependable. Also wants to come back. - Assistant manager, - stopped coming in, she thought she failed us. Now wants to come back PT.	
7	via phone: We extended an offer of employment to someone and I sent an offer letter to an employee who applied for an position of commercial driver. He did not show up for work today, he sent us an email today stating that he'd had a mild stroke. If we rescind our offer of employment would we run afoul of the ADA? We are not yet 100% he's going to want to continue to with the position, he's said he'd keep us posted as to his condition.	
5	Suggestions for applicant tracking system.	
2	Would you please send me any required new hire forms that must be provided to employees in the following states: California & Washington.	
7	We would like to hire an intern that is 17 years old. He has not graduated from high school yet. What type of paperwork does he need?	
0	Do you have a sample of an employment contract?	
6	We have a situation where we had an event coordinator position that was a contract position, and then we chose to make it a full time position in March. We've now decided that it is no longer necessary to have it be a full time position and we'd rather have it be a contract position. How do we go about that?	
6	If I want to hire seasonal workers , what's the normal process. We've only ever hired full-time, permanent. Is there a special process/form I need to have them follow or sign in order to stay compliant with it being seasonal?	
6	We are trying a temp hire with someone is on WC. WE will payroll this person. How long should the temp position last, is there a limit to the number of hours they can be temp? Do we have to process the eVerify, and what about withholding employment taxes?	
8	I am looking for a cheat sheet about what interviewers/managers can/cannot write on an interview document as far as notes. For instance, some of them make comments on the history form or the resume about the candidates answers about: Where theyre from originally. That the person is motivated by their daughter. Will need a vacation at a certain time because theyre getting married. They state they can only lift five pounds due to a previous injury. Looking for work because last job didnt give enough hours to support my family. Also, when an employee calls in sick or goes on leave, what are we allowed to document or tell others about them? Can we say on LOA?	
2	New employee in accounting department. New policy for credit check has not been published company-wide however requirement included in offer letter. Last three candidates were white and this incumbent is in a protected class. Considerations?	
4	I had some general information about questions on application. Can we still ask for salary? What questions can we ask about background checks? Can we ask employee's if they are at a commutable distance?	
5	Seeking free customer service assessments for potential convenience store employees.	
0	We are looking at doing background checks. Do you have any guidance or vendors you can refer me to?	
6	We would like to hire a laborer to come in just to complete a painting project for us. Should this person be an employee on our payroll or an independent contractor. What should we consider with either decision?	
6	Are there specific places that we are required to advertise our job posting? Can we advertise on Facebook? Do we have to included the full EEOC statement or can we put "EEOC compliant" or "EEOC"? - where is a safe place to get the EEOC logo?	
5	Job Description - if we have a signature line does that impose a contract?	
0	Good morning, I am looking for video material on workplace bullying. Also, I am looking for a very basic math & reading pre-employment test. Can you please offer me any suggestions on where I can find these or purchase the materials? Thank you, Jana Homan	
5	Asking on behalf of client Midwest Connect: Can we run a driving record on someone we interviewed, but not yet offer employment to this person? Or does an offer of employment need to be made, and active employment status will be contingent based on results?	
4	Is it against the law to ask an applicant during the interview process or after an extend offer is made if applicant has any relatives working for the City? Should this be included on application?	
2	Re: New Hire Information Packet - Third Request Elizabeth Kimball (Beth) is the owner of the company and has asked me to find this information for her -I would like to have a check list of all paperwork required to give a New Hire Employee Becky Lyles - for Beth KimballCampus Kitchen1900 Pico BlvdSanta Monica CaliforniaMy Number is 805/409-6239 I appreciate your assistance From: Rebecca Lyles To: Thinkhr Support ; Chris Roberson ; Chrissy Cortinovis Sent: Tuesday, July 11, 2017 4:18 PM Subject: Fw: New Hire Information Packet - second request ----- Forwarded Message ----- From: Rebecca Lyles To: Thinkhr Support Sent: Tuesday, July 11, 2017 8:29 AM Subject: New Hire Information Packet Good Morning, this is Becky with Campus Kitchen, Santa Monica, California. I want to be sure, for the fall Semester, that we have complete information for our New Hire Pack for incoming new employees - May I have a list of the required paperwork, along with anything new that has been added or changed - thank you so much for your assistance. Becky LylesCampus Kitchen805/409-6239	
6	We are TX based company and we are hiring a position that is going to work from her home in CA. What things do we need to do differently for CA new hire than we would have to do for TX? They are going to be reading studies from home they will be reading the X-rays. She will be in Sacramento, CA .	
3	I'm looking for survey data, and I know XpertHR has lots of surveys, but I haven't been able to find what I'm looking for. What I need is a survey for all 50 states showing the acceptable pre-employment background check information for convictions. Beyond Ban-the-Box, which convictions can be used as a reason not to hire, or if a state has a law around specific types of convictions. What can we do or not do related to state background check rules? The EEOC guidelines regarding business/job relatedness is broad and we want to know if the state rules are more stringent.	
2	Do you have a new hire checklist or onboarding checklist	
6	Looking into doing business with an independent contractor in our welding shop. Build trailers. Since we are not hiring through payroll is it possible to do our regular drug screen and background check as we do for regular employees	
6	We are interested in hiring man trim his beard to a short length as his beard is way too long. Is this something we could ask or do we have to put it in our handbook as not acceptable? How do we handle this situation and make this part of his offer of employment?	
0	We have a client looking to do extensive background screening for an potential employee in CA. Do you have a list of things they can and cannot do in CA and other states? There is a listing including credit reports, driving records, criminal history, education verification, US Federal Court records etc. I have an attachment if you want to see the pricelist.	
7	jenward77@gmail.com Jennifer Ward We have an employee who was a company officer who went through a leave of absence and terminated about a year ago. We would like to bring him back as a contractor for a specific project. Of course, people talk and this individual spoke to someone else who is working as a regular employee and now the contractor wants to be a regular employee with full benefits. Right now he is on COBRA and wants to be back on regular active insurance at 100% coverage. Can I bring someone back knowing they will be temporary? Will it better to state that this is a temporary position?.	
5	What do I need to do to hire someone with an F1 Visa?	
8	My CEO/COO are getting ready to offer a job to a senior level staff member. They'd like this person to begin work with us on 7/31. The candidate has expressed that he will be taking his son to college for a set number of days in August (4 working days at the most) and would like us to consider it not counting towards his PTO. My COO is fine with this and has suggested that we build it into his offer letter that for a set period of time he would be off, and we would not track it as PTO. My hunch is that this is fine as it's up the the employer whether or not this leave should be counted. But I wanted some feedback from someone here to affirm my hunch. I know this would somewhat set a precedent, but I also know this arrangement would stay between a select number of us. Would there be any reason why we couldn't do this? Any laws around time off that say we couldn't make this special circumstance available to this new hire? Do we need to count this requested leave as PTO within the eyes of employment law?	
4	Recruiting - can we ask for a copy of their diploma?	
8	One of our employee's was given permission by the executives to bring his nephew on-board as an intern. The nephew is 17 years old, do not have authorization to work in the U.S., it will be unpaid and will work under the directon of his uncle in Engineering. What liabilities goes this pose for the company? This is in the state of California	
