cluster	question	
1	I spoke to our local police and I will terminate her today and the police will be on site. I have documented all identified fraudulent activity. I also called our liability specialist. I am concerned for what happens after today. I need to make restoration with my clients. I am concerned that when I reach out to them if one of them gets upset there could be a approach that they make against us. Are we in a position to get the money from her?	
1	We are an At Will state (but also have remote employees in various other states), what level of documentation is needed to terminate employment. Cant we just say not a fit? I would like to further officially understand the at will and needed documentation surrounding it.	
1	We have a longer term manager we are seeking to terminate. We recently discovered there have been coupon/discounts that this manager have applied spanning a 2 year period, however these cannot be substantiated in the reporting (e.g. coupons not present, etc.). We do intent to get the police involved. Is the police report necessary to terminate?	
5	We have an issue with a long time employee. This employee has been with the company for many years. He has been counseled and written up on no less than two separate occasions for asking female employees out to lunch or to get a drink. Even after being spoken to about it he then tries to apologize by bringing them flowers and asking them out again. We have had another incident with him, and we have decided that this is the final straw. We are planning to terminate, however, the CEO wants to offer him the choice of resigning (mentioning retirement) and allowing this to be his two weeks' notice. What are your thoughts about this?	
1	Exempt employee provided notice through this Friday but is not returning this week, are we required to pay her for the holidays?	
4	Is Erin available? I am at the end of a long termination. We are ready to terminate her. We held off because we were trying to close a round of funding. The lawyer is advising me, but we have a very small space. It will be a scene if we do it with everybody else there. Should I have them clear the office? How do I do this without tipping her off? I am not physically there so my attending will be a tip off. I am worried she will start videotaping and that it will be a full blown scene. I am worried about the other employees more than her at this point. I want to minimize the impact on our small staff. We have 3 reporters, one of whom is being terminated. The other reporters feel like she is being treated unfairly. Many days she does not come in until 12 (after PT). Should the manager set the meeting? How do we get the lap top? I can have a thumb drive to drag personal stuff onto it? Can we hold her final check if she does not return the equipment? The separation agreement requires the computer and any other equipment be returned.	
0	ThinkHR Team, Please review the question posed by my client, Level 5, LLC below highlighted in yellow. We appreciate your thoughts and comments with regards to the GA DOL regs and state law. Per our discussion, heres the email from Brad that he wanted to propose to the owners. Could you please verify that we are in compliance with any Georgia Department of Labor regulations pertaining to vacation payout and termination/resignation concerns. Thank you for your assistance. I am considering a revision to the vacation policy. I will need to submit the policy to the partners for approval. The proposal: 1. Two weeks vacation - new hires earn vacation hours out of the gate but must work 6 months to get the benefit of vacation. 2. After 4 years the employee begins earning an additional week so that they have 3 weeks vacation in year 5. 3. After 8 years the employee begins earning an additional week so that they earn 4 weeks vacation in year 9. 4. Carry over: * It is our intent that our employees utilize vacation not save it up. * Two weeks is the maximum carry over * Upon Resignation or termination, vacation paid to employees is a maximum of 4 weeks. I want to make sure that they approach above does not materially differ from our current policy in terms of resignation or termination. I also want to make sure that it is legal, meaning they have 6 weeks carried over if the employee has been with the company longer than 8 years but we are only paying 4 weeks.	
3	I've got a company with 225 employees in Texas. They are in 11 other states. They are wanting to set up a form for deductions from final paychecks. If somebody steals or takes more vacation than they have, can we deduct that. California, Florida, Illinois, Iowa, North Carolina, New Jersey, Ohio, Oklahoma, Rhode Island, Wisconsin, Texas. Negative paid time off balances, and loss to the company, stolen money, equipment.	
4	We are restructuring our staff, bringing on 1 to 2 new positions, and changing staff compensation plans. The compensation package that we offer our outside sales person is going to change substantially. She would have the potential to make the receive the same or more compensation under the new plan, but it would require increased revenue generation on her part (more sales annually). We realize that she may decide to end her employment with us over this change in compensation package. (The job description is not changing in any substantial way so the position is not being eliminated rather it will be compensated in a different manner.) If she chooses to leave based on the change in compensation, is she eligible to apply for unemployment?	
4	We terminated an employee and lost the unemployment claim so now we are making sure An employee was counseled on the 30th regarding excessive absenteeism and tardiness. On Monday she said she would be late - I told her to take care of her vehicle and I understand. Today I got a text 30 minutes before she is to be here and she will be late today as well. In the warning that she signed it said she could have no further tardy for six months. Can we terminate? Will she have a successful unemployment claim?	
1	We have an employee that just offered their 30 days notice. They have been sworn into the Air Force as an officer. Does this change our ability to release immediately? Will we have to pay the resignation period?	
2	Are there any recent (last 24 months) severance agreement cases that provided favorable outcomes to employees with under 25 employees? Are severance agreements advised for groups that size if they have a clear employee handbook signed at hire? What states require severance?	
1	After 12 months we'll terminate an employee from benefits who has a workers' comp claim, we will also be terminating them as employee. How best should we communicate this to employees. Our lawyer and carriers have said that this policy is okay? .	
6	Final pay for California, must we pay on final date of employment or do we have 72 hours?	
3	It only is a docx. There is no link to the three forms listed.	
1	We have found one of our front desk employees has put a resume on the company computer. We have a policy that states employees may not use company equipment (including the computer) for anything other than business reasons. We want to terminate her.	
0	We do vacation/personal time as PTO all lumped together. Employees accrue time each pay period. If someone leaves and they have a negative balance, can I deducted those hours from the last paycheck. These are PTO hours we paid them for, but they had not accrued the time yet. ( essentially overpaid PTO)	
5	Calling on behalf of Pate Trucking Company: They are for profit in TX with almost 200 employees. A supervisor (employed since 2014) was out on surgery leave 5/4-5/29 unbeknownst to HR. He came back to work and worked for several weeks and the manager terminated him this past Friday for performance issues. There was no prior discipline. FMLA was not designated but he is exempt and they continued to pay him and the deductions continued. He came back to the exact same position. He is over age 40. We don't detail of the performance issues. He called and said he couldn't be terminated because FMLA was not designated. His supervisor is under age 40.	
2	Do you have a proprietary data form for exiting employees to sign? Currently have a non-disclosure/no-compete policy in place. Thanks very much, Mindy	
1	I checked our online enrollment system and it does not appear to specifically ask the employee to consent to the deductions. Can we still take them?	
2	severance agreement and general release	
2	Would you send me sample Exit Interview?	
4	We let a receptionist go on Friday. We did not have a lot of work for her and she said she understood at the time. She has now come back and is saying we should have given her severance pay etc. She is asking that we give her a formal letter of dismissal.	
4	We let a receptionist go on Friday. We did not have a lot of work for her and she said she understood at the time. She has now come back and is saying we should have given her severance pay etc. She is asking that we give her a formal letter of dismissal.	
2	What laws are there regarding severance in North Carolina?	
3	We have a client that had employee access an HR document that included employee SSNs and salary information. The document had been accidentally saved to a shared drive and was not password protected. The employee that accessed the document then used the salary information to try and negotiate his salary. They want to know if this could be considered grounds for immediate dismissal and what is their PI obligation is to all other employees now that they know SSNs were accessed. Thanks!	
0	When calculating final pay for an employee and vacation. If the vacation is not earned until the employee has been here one year, are we required to pay it out if they leave prior to their year anniversary? What are the guidelines about providing employment references/verifications?	
4	An employee started in housekeeping last Monday. She has a terrible attitude and didn't show up for work Friday. Saturday she showed up and said she didn't know she was scheduled to work Friday. I met with her yesterday and wrote up a verbal warning. She got an accident (car) yesterday and said she was fine. She called in today and I told her we are terminating employment. She told me she was going to have to hire a lawyer because she is 3 months pregnant and ordered to work (we did not tell her that). She said one of her coworkers texted her saying you better come to work or you will lose her job. The employee denies the request. I told her to come in and get her check and she said she paid this other employee for the uniform, which that employee also denies. We did know she was pregnant. The employee was training her in the laundry. She is not a lead necessarily. She said she had to to go to the doctor. She has told people she is thinking about not keeping the baby and she has to go in for drug testing and somebody thought she went in for her required testing. She says no told her she was supposed to work on Friday. Should I rescind the termination?	
3	Can we get a template for layoffs for a construction company?	
5	We had an exempt employee whose last day was June 26th and he is stating that he should have been paid for 3 hours more because he worked. Our pay-periods run Fri-Thursday.	
1	We have one employee each in Illinois, Pennsylvania & California. We have two employees each in North Carolina, Texas, and New York. Are there any State severance regulations in these states?	
3	We have a salary employee that came into work today and today they called in to resign.	
4	We have a WA employee who did not participate in our active open enrollment, therefore, since no selections were made her benefits were canceled. She is now calling in sick repeatedly but claims she can not provide a doctors note since we canceled her coverage. Are we allowed to separate employment?	
1	Hello, What is either the best practice or federal guideline for giving someone time to consider a severance package. This isn't during a reduction in force, but more for when a high level executive isn't performing well and will be relieved of their duties but given a generous severance package. We want to be generous but also understand laws in giving someone time to consider the package presented. Is there a minimum amount of days we're supposed to give for someone to consider the package presented? Follow-up, what are some other "nice" things to give someone in a severance package besides $$? We've given people the use of a recruiter or outplacement services in the past. Candice Qualls	
4	Our client has an employee who filed a WC claim upon her return from a hunting vacation. It was brought to our attention that this same employee advised and instructed anther employee to file a WC claim. Additionally, her husband settled a large WC claim with his employer. Our client would like to terminate her employment as it seems that she may be creating a morale issue among the workforce.	
5	An employee was recently in the hospital for a non-work related illness. He left the hospital against medical advice and has not worked since his hospitalization. His supervisor subsequently advised him that in order to return to work he would need a doctor's note before returning. It's been two weeks since the employee spoke with his supervisor and he called today to request that he be laid off. He advised he feels he is not able to return to work because he does not believe he can do the physical labor associated with his job. He also stated that if he was laid off he would be eligible for medicaid which would cover his medical costs for his hospitalization and for future medical treatment. The supervisor suggested that he take a leave of absence and he replied that he needed to be laid off in order to be eligible for aid per a conversation he had with a nurse. Could you please recommend the best way for us to address this? Thank you	
3	Can an employee be fired for seeking other employment?	
0	Must a company pay for unused, accrued, vacation in Texas and/or Louisiana?	
3	Can we recoup unauthorized funds that an employee charged on their company credit card from their last paycheck if they are terminated for inappropriate use of company funds?	
0	For the state of AZ is vacation pay out required when an employee is terminated?	
3	When a group terminates someone, can the group pay for the state continuation or COBRA on their behalf?	
0	What is considered best practice/customary when offering a terminated EE severance for two months? Are wages paid in a lump sum amount at the onset of the severance period, including any commissions that would be due, auto stipend. etc.? Or is an EE paid semi-monthly, per our regular pay schedule, throughout the severance period? Do employers typically allow PTO to continue accruing during the severance period, and pay out the balance of unused/accrued PTO time at the end of the severance period (9/1/17) or at the time of termination? Lastly, do you have a template that could be used to summarize the agreement, and how benefits are to be addressed? We are considering delaying the first day of COBRA to 9/1/17, aligning with the end of the severance period. In the meantime, would the EE remain active in our payroll system, or terminated? Any suggestions would be much appreciated.	
1	We have an employee who gave two weeks notice. Do have to allow him to work the two weeks or can we release him early?	
5	We terminated an employee for poor performance and poor attendance. The employee filed a UI claim stating that he had an emergency dentist appt and a kidney infection. Is he going to receive UI benefits? He was only employed with us since Feb (4.5 months).	
5	We had to terminate an employee last week for job performance. He just called and asked if was ok to file unemployment on us.	
1	Is there a standard for early retirement packages? We are considering downsizing but are considering offering a package as an alternative to layoff.	
5	We terminated the employee who was out on leave due to job abandonment after he did not provide any documentation confirming he was in a rehabilitation facility under the care of a doctor. After I sent out the packet, I received a doctors note excusing him from work until August but there is no contact information or name of the facility. I tried to call the facility it appears the doctor practices at but you can not reach anyone. What should I do?	
2	We are looking for something really specific in terms of survey data. What is the typical length of the severance agreement for C-Level Officers?	
1	We have an employee whose performance has been unsatisfactory. Tardiness, absenteeism and poor performance. Wondering on your thoughts about. moving forward with a termination	
2	Sexual Harassment investigation and will be terminating the employee. Should we provide a summary of our findings and a termination letter.	
4	Our Michigan office has a few college students doing an internship and they are paid interns. Unfortunately, one of them seems not to be a good fit and HR is receiving many complaints from employees. Although we have not recorded any tardiness and poor performance of this intern and have not officially disciplined her yet, but employees wants her to go now. Can we end her internship immediately without giving any reasons? It's an internship relationship, not employment relationship from our point of view, but since we are paying her, I wonder from the legal point of view, the court regards it as an employment relationship if we are sued by her.	
1	If a person gives a 2 week notice, can we let them go early? We would pay them for whatever the entire notice was for correct?	
6	As a benefit we reimburse our ski instructors their PSIA annual membership dues. If the employee chooses to leave our employment can we deduct this amount from their final paycheck?	
6	As a benefit we reimburse our ski instructors their PSIA annual membership dues. If the employee chooses to leave our employment can we deduct this amount from their final paycheck?	
3	An employee was terminated and the TWC stated they needed documentation from staff regarding particulars of the reason for termination. Now the former employee is harassing the employee who wrote the documentation.	
0	Hello. Are Massachusetts employers required to pay out remaining PTO at termination or an employees resignation? Thanks!	
1	We have a team member who turned in 2 weeks notice in the state of TX. We want to accept it immediately. We are looking at offering to pay out to the date of the notice as well as some of her PTO. I know in TX we have 6 days to pay out. I just want to make sure this is correct in this situation. Do we need to get the final pay to her within the 6 days or can we do this with the regular pay cycle?	
5	We are terminating an employee in Mass. and I need to get guidance and his last day is today. We are letting him go for job performance. He is a sales person and is not meeting his sales goal.	
1	Via VM: I would like to talk to someone about a termination we are going to do today.	
4	employee hired on 5/30 went into labor and gave birth to a child on 7/3. Here are the clients questions: 1) can they terminate her since she is not even working there for more than 2 months? They cannot afford to keep her position open for the six weeks she is entitled too under NY State DBL. 2) It there intention is to terminate her, what should they do in order to ensure they are on sold footing. 3) she is still in the benefit eligibility waiting period (1st of the month following 60 days) so she is not eligible for company provided medical benefits. 4) Is there a state law "FMLA style" in place that would obligate the employer to provide coverage?	
5	We have an employee who has a threatening attitude towards other employees. Some employee's have not come into work claiming they are afraid of him. We would like to terminate him, but employee's have told me that he has PTSD. He has never disclosed anything about it or brought in a doctor's note. What is the risk in terminating him?	
6	We have an employee who is claiming that we are not allowed to deduct the loan amount from his final wages. Are his regular deductions considered part of the gross wages for the minimum wage purposes? His last paycheck was a net zero after all the deductions were taken out, could this be a problem? Could the employer be subject to waiting time penalties because his gross fell below minimum wage?	
5	We have an employee who request time off but his vacation request was not approved. He requested the time off through our online system, however, in addition to this his supervisor advised that unless he could get coverage for the time off requested, this was not approved. Even after reminders, he never followed up with his supervisor to confirm he got coverage, but then did not show up for work during the time off requested. We now consider this as being absent without approval, and consider it a no call no show. How should we notify the employee of this?	
5	Question about employee termination... We have an employee that has been out on workers comp for an extended amount of time, His restrictions were such that we could not provide modified duty. our works comp provider recently set him up to work in a return to work program that could accommodate his limitations. We have scheduled him to report 2 times now and he has not gone. The first time he just ignored it then said his daughter was visiting. The second time he claimed he was out of the state. We feel we have cause for termination for job abandonment but wanted to run it past you first. Thanks,	
6	For employees that do not call and do not show, we send their final paycheck to their work location. If the employee does not pick up the check by a certain amount of days, the check is sent back to the corporate office and then mailed. Are we in compliance with CA final pay laws?	
2	Can you bring a terminated employee below minimum wage to pay for health insurance in Texas?	
0	Hi - I received the following questions from a client and am hoping you can give guidance: "If we currently offer vacation and personal leave and we decide when an employee leaves that we do not want to pay that out can we do that as long as the employee manual states that or do we have to pay it out since they have accrued it? I know right now we do not pay out the personal leave and the handbook states that, but they are thinking about doing it for the vacation leave as well. Also if you can are you able to stipulate that they would not pay it out for salary employees, but will for hourly employees?" Thanks!	
2	Is it a requirement for the company to provide a termination letter at the time of of the termination to an employee that was terminated for violating company policy in the state of Washington?	
3	Is thee a federal or Kansas regulation that defines termination when there is an employee with a no call no show?	
5	We are located in IL. An employee works in IL and lives in IN. If he is laid off, where should he file for unemployment?	
5	We have a client in NC that terminated an employee on 6/21. He is an exempt employee and he was overpaid his regular wages through 6/30. He has a PTO balance of 48 hours available to him which they would pay on his the next pay roll. Can the deduct the over payment from that next paycheck?	
1	An employee was termed 7/6 as a no call, no show. We still haven't heard from him and we have his check. Should we mail it?	
1	We just paid a guy his last check due to the client. We are a temp agency we billed the client 40 hours and he called in sick one of the day. The client is now stating that we should demand the overpayment back. Can we do this?	
5	My question is that I had an employee out on FMLA for drug and alcohol issues. He is back now. We would like to terminate him for performance issues. I just want to make sure there are no issues because of the FMLA and the reasons he was out. He was on PIP before his leave now there are performance issues again.	
0	Do I have to pay out vacation if the employee has not yet "earned" it. It's accrued but per our policy is earned until they have 90 days of employment.	
0	I have an employee that passed away recently. I have one remaining paycheck for her. What is the Illinois law? Also, she has accrued vacation.	
3	A terminated employee lives in staff housing accommodation. The employee is refusing to move out. What rights do I have to evict her?	
0	We have an employee who quit with no notice, she is wanting her PTO time that she accrued. In our handbook that employees sign off on, it states "You will be paid for all accrued and unused PTO when you leave the Company Unless you abandon your job. We feel this is job abandonment since she was on the schedule. Please advise.	
3	We have a repayment agreement in place for employees who receive a sign on bonus or relocation, etc. as part of their offer letter. The terms basically state that if they leave the company within a year or are fired for cause, they will need to repay the amount. But how can we go about doing this? Can we withhold from someone's paycheck and how much? What recourse does the company have if the employee just refuses to pay the money? Some of these bonus amounts are quite large so it wouldn't be feasible to only be able to withhold from someone's paycheck.	
1	We have an employee currently filling a full-time position that has on-going performance issues. These have been documented and we did have an opportunity to release from employment however did not. We would like to change this position to two part-time positions to perhaps push the employee to leave. Is this proper? Are there things we need to consider?	
5	Employee is under-performing and his manager wants to proceed with terminating him. He has recently been on Parental Leave taking 5 of 6 weeks; it has only been three weeks since he came back. Prior to leave manager had concerns. What are the risks/	
4	We have an employee who has had numerous anonymous complaints concerning treatment of people in her crew(s). People in the crew are saying she is given preferential treatment from one of our staff and a supervisor from a grower we do business with. Can we let her go for anonymous complaints? We are working on a current investigation with the people. We do have other write ups on her.	
5	We have an employee who will not be coming back to work due to a heart condition (Truckers cannot operate a vehicle under DOT regulations without passing a med exam) Wondering when his official termination date should be? Would it be the day he stopped working due to the condition? Would it be the day he informed us he won't be coming back. He has been on disability and using Cobra for a number of months (3?)	
1	We have sold a location to a new company. We will be laying off all the employees. Will the employees we eligible for unemployment and would the final pay rules be the same as if the employee were terminated?	
1	We want to implement a policy for our new hires. Couple new hires did quit as soon as they finished their trainings with us on their first day officially. So is there a way we can put in a policy that we will hold them responsible for giving us advance notice or we can hold some amount from them to cover the cost of the training we do with them. Eventually it is costing the company time n money and all the departments run into chaos.	
3	We have an employee who may be terminated but we are wondering if they will be eligible for unemployment because they have a second job as well (not through us, they are a realtor).	
4	We terminated an employee and we provided her with 7 days to sign her severance. She become hysterical during the meeting. I am concerned that she may not have been able to remember that timeframe, is it okay to contact her with a reminder?	
0	What are the vacation payout requirements for accrued/unused vacation time in Michigan and Tennessee?	
4	I received an email from one of our employees notifying me that effective today, she is resigning because she does not feel safe in the workplace. Her supervisor, who is also her friend, made a comment about the employee's mental capacity. It is known that the employee has a mental disability. The comment made its way up to our company president and the president, with a female witness present, discussed the matter with the supervisor. The employee is now upset, we believe, because the company president is now involved. The employee stated that she was not offended by the comment that her supervisor made, and now feels uncomfortable continuing to work here. How should we respond? The supervisor is on suspension for a completely unrelated matter.	
1	We don't have it in our company policy or SOP; however, how long should we give someone to gather their personal belongings on the day we terminate them?	
5	I have an employee that turned in his 2 week notice then got hurt on the job. Is it legal for me to terminate his employment based on his voluntary resignation date even though he now has a WC case?	
2	Today I had two scheduled terminations. I met with and terminated one of the employees. He told me to keep the check then told the other employee, his wife, not to bother meeting with me and they left. What documents do I need to provide under California requirements?	
6	We have an employee who put in letter of resignation. Last day July 21st. He will not be working out of office except tomorrow. Is it best to pay him his final pay tomorrow when he is in the office or wait until the 21st on his final day?	
1	One of our employees was seen on video surveillance stealing from another employee. This happened at a client site in San Diego. Our manager is going down to San Diego on Wed. Can we suspend the employee pending investigation? He is non-exempt.	
5	Good afternoon, I work for a landscape company. We have an employee (30 years old, male, Hispanic) who was taken off a job site by ambulance on Thursday of last week. (He had a seizure-no equipment was involved. He did hit his head on the pavement of the property though). I called in a worker's comp claim on Friday. The employee stayed in the hospital Thursday through Saturday, in the ICU. His manager went to visit him, and the employee gave his permission for his doctor to give the manager his diagnosis-cirrhosis of the liver due to drinking all and every day. We've had an idea that he'd been drinking at work a couple of times previously, but had no evidence, or real reason to start an investigation other than another employee saying they may have smelled it on him, and him leaving the work site for two hours to take a nap (in which he was written up for). This morning he wanted to come back to work, and said his doctor has cleared him, but has not shown us that documentation.	
3	Manager of a Subway location was on her break making out with her boyfriend; employer wants to know if they can legally terminate employment?	
1	We had an employee arrested. How long do we need to wait for this employee?	
4	As a follow up to my previous issue the employee who sent the potentially abusive email has now sent out an email to the entire groups stating that two of her teammates are liars, and claiming multiple other inflammatory issues including acknowledging essentially being abusive. We feel that this along with her earlier behavior warrants dismissal, and I'd like to talk this through with someone.	
2	What do I need to do in terms of managing a retirement; I'm new to HR. The employee is in California.	
2	we are terminating an employee because her position is going to be removed. Can you please send me a list of all the federal and state documents I need to hand her? Thank you	
2	For California employees who are being terminated, what is required on the final paycheck acknowledgement document? Is a signature required? Please let me know. Thank you!	
5	A driver pulled his shoulder muscle while on the job. He was placed on light duty until August 3rd. Issues: 1.Injured driver took dog to work & rode along with new driver to train while on light duty, instead of training, played fetch with dog using injured shoulder (statement available). 2.Driver does not want to ride along with new drivers, did light duty jobs on his own unit, burned out pump on unit for 2nd time (expensive & major repairs, have 1st write-up from 1st time pump was burned out). 3.It has been discussed to release driver due to costly damages and continual improper handling of unit. We can continue to pay medical bills and therapy related to shoulder injury. Question: With 1st & 2nd write-up of pump being burned out, statement from another driver stating this employee did not fulfill his duties as requested, can we terminate on these grounds?	
0	What is the legal requirement in regards to timing of paying out an employee who terminates voluntarily or involuntarily from a company? Most specifically, how soon does a company need to pay out salary and accrued vacation/PTO time?	
2	I am creating a termination checklist for our company to use going forward. In looking over the checklist you have online, the below items were mentioned. Can you send me a sample of what these items should look like? State Unemployment forms/ pamphlets Termination letter Severance Agreement/Release of Claims, if applicable	
1	We took a big project in Missouri (we are in California). We had unexpected expenses for the implementation of this project. We brought in part-time employees to help. He wants to make layoffs in accounting and customer service. One employee in particular has carpal tunnel workers' compensation and goes to physical therapy. Can we lay this person off? "partnering people with knowledge" says we can if there is a financial hardship on the company. The employee is not leave.	
5	There is an employee who has given his two weeks notice, he will be intermittently working until the 21st. He will not come back to the office to perform work after today, we want to pay him today for the time through the 21st, whether he performs work after this or not. We are not terminating him, we are honoring his resignation, but is it allowable to pay him today through the final date, July 21st?	
3	Call relayed via Jasmine in sales at 9:15 am 7/11/17 Employee termination and they're resigning. Question about training a new employee. Please call EE resigned and had given two weeks notice but would like to let the person go early. Can I do this?	
4	We have an employee who advised our Administrator in May of impending retirement citing she will resign once her house has closed. Our owner wants to part ways now, and search for her replacement. Are there any issues in doing this?	
5	I have an employee who is a manager that has been here less than a year and his supervisor wants to let him go due to his attitude. They want to terminate him and he is in Texas. There was a lot of verbal communication but nothing was documented. He is under a protected class (he is from India he has brown skin). I want them to provide enough documentation. What if we offer him two weeks of severance pay? Is there a severance agreement that will remove him from he filing an EEO complaint? . Is there a severance agreement template that you can provide? He is over the age of 40.	
5	I have an employee they want to terminate him. He is in CA. I have documentation, counseling form. He was probation for 2 days because of performance. Am I okay to terminate him? Under 40. Ethnicity is 2 or more races.	
6	We had an employee who we let go last week due to attendance - he has an outstanding loan. Can we deduct what is owed from his final paycheck?	
3	We have a sales coordinator who was asked by another employee about a family rate to stay at the hotel. our handbook states that employee rooms have to be booked online however the sales coordinator told the other employee that rate would be $150, the employee understood it as $150 for the entire not a night. Sales coordinator never mentioned that to her supervisor or anyone but she technically did not book an employee rate of $39 a night. Now the employee's family is very upset because they got charged $150 a night when they were promised $150 for the entire stay. Since the Sales coordinator violated how the employee rate was booked is this grounds for termination with no approval.	
5	TRIPLE FRESH - PA GROUP - FEDERAL COBRA Good afternoon, The above group has the following question: We have an EE who is salary + overtime. We are looking at laying him off due to poor sales. We would like to change him to hourly so we can use him a few hours each week to help make up the difference between his unemployment and his salary. The idea is that he can use the time in a sales capacity to help build sales with the goal of having enough to bring him back full time. He has questioned this though, essentially suggesting that changing his status would open us up to litigation. My thought is he is non-exempt (he still gets OT), and while his job includes managerial duties, this fact does not change the fact that he can be laid off. I await your reply. Thanks. Best regards, Lisa L. Reed Due to overall company drop in sales/revenue, there is a lack of work in catering, where this employee works. There are other managers, but not in his area. There was a Director until January, but that person left. At this time, we divided his position into two and gave part of the job to Catering Sales and the other to Catering Operations. This layoff is the operations manager, so until the sales improve, there is nothing to operate. We would reduce his hours to part time until/unless the business picks up.	
4	We are a medical group located in MD, DC and VA. One of our employees in VA has had poor attendance since last year. She was written up in 9/26 & 11/4/2016 (suspended in November), spoke to her again in December, and then again given a written warning on 3/3/2017. On the March write up, her manager told her that any tardiness can lead to termination. For the last two weeks she has come in late and her lunch breaks are longer than the time allotted. We plan to terminate her. Please email me or call me to review this issue. Thank you.	
1	We are looking at a RIF and layoffs. We will need to terminate approx. 30 employees due to reduction in force. What kind of notice are we required to provide? Do we have to pay out vacation? Do we have to offer severance pay?	
4	We have an employee who was terminated from our company last Friday. She called and said she wanted her paycheck and that in TN, the final pay laws says she needs to be paid within 72 hours.	
2	Wanted to review the wording for the documentation we will be providing an employee upon termination. We want to state the termination is for misconduct based on the improper use of a company credit card.	
2	Do you have an example certified letter that we can send to an employee who quit who took our company laptop requesting it's return?	
2	I'm completing a termination form and wanted to run the reason by you. Basically the employee misused the company credit card several times and she's admitted to it. I was thinking of writing in 'lack of trust' and misuse of credit card. What do you suggest?	
